37900123458228,French Herb and Lemon Infused Olive Oil,"Add a touch of freshness to your dishes with our French herb and lemon infused olive oil, featuring a blend of fragrant herbs and citrus.","Ajoutez une touche de fraîcheur à vos plats avec notre huile d'olive infusée aux herbes françaises et au citron, composée d'un mélange d'herbes parfumées et d'agrumes.",Huile d'olive infusée aux herbes et au citron français,Huiles de France,France,0.5,0.4,g
37900123458345,Artisanal French Quiche Lorraine Tartlets,"Indulge in the rich flavors of France with our artisanal quiche Lorraine tartlets, featuring a blend of creamy eggs and cheese.","Laissez-vous tenter par les riches saveurs de la France avec nos tartelettes artisanales à la quiche lorraine, composées d'un mélange d'œufs crémeux et de fromage.",Tartelettes de quiche lorraine artisanale française,Pâtisseries Artisanales,France,1.2,0.8,g
37900123458462,French Lavender and Honey Body Scrub,"Exfoliate your skin with our French lavender and honey body scrub, featuring a soothing blend of fragrant herbs and citrus.","Exfoliez votre peau avec notre gommage corporel à la lavande française et au miel, composé d'un mélange apaisant d'herbes parfumées et d'agrumes.",Exfoliant corporel à la lavande et au miel français,Soins Corporels de France,France,0.6,0.5,g
37900123458579,French Apple and Cinnamon Crumble Mix,"Warm up with our French apple and cinnamon crumble mix, featuring a blend of fresh spices perfect for a comforting dessert.","Réchauffez-vous avec notre mélange de crumble aux pommes et à la cannelle française, composé d'un mélange d'épices fraîches, parfait pour un dessert réconfortant.",Mélange de crumble aux pommes et au cannelle français,Dessertès de France,France,0.8,0.6,g
37900123458696,Artisanal French Creamy Garlic Dip,"Savor the rich flavors of France with our artisanal creamy garlic dip, featuring a blend of fresh herbs and spices.","Savourez les riches saveurs de la France avec notre trempette crémeuse à l'ail artisanale, composée d'un mélange d'herbes fraîches et d'épices.",Mélange de dip aux aromes et à la crème française,Fromages Artisanales,France,0.6,0.5,g
37900123458713,French Berry Jam,"Enjoy the sweetness of France with our French berry jam, featuring a blend of juicy fruits.","Appréciez la douceur de la France avec notre confiture de baies françaises, composée d'un mélange de fruits juteux.",Confiture de fruits rouges français,Jams de France,France,0.7,0.55,g
37900123458830,Artisanal French Feta Cheese,"Savor the rich flavors of Greece in France with our artisanal feta cheese, featuring a blend of creamy milk and herbs.","Savourez les riches saveurs de la Grèce en France avec notre fromage feta artisanal, composé d'un mélange de lait crémeux et d'herbes.",Fromage feta artisanale français,Fromages Artisanales,France,1,0.85,g
37900123458947,French Herb and Garlic Sausages,"Indulge in the rich flavors of France with our French herb and garlic sausages, featuring a blend of fragrant herbs and spices.","Laissez-vous tenter par les riches saveurs de la France avec nos saucisses françaises aux herbes et à l'ail, composées d'un mélange d'herbes parfumées et d'épices.",Saucisses aux herbes et à l'ail français,Charcuterie de France,France,1.2,0.9,g
37900123459064,French Apple Tart,"Enjoy the sweetness of France with our French apple tart, featuring a blend of juicy fruits and creamy pastry.","Savourez la douceur de la France avec notre tarte aux pommes française, composée d'un mélange de fruits juteux et de pâtisserie crémeuse.",Tarte tatin aux pommes française,Pâtisseries Artisanales,France,1,0.85,g
37900123459171,Artisanal French Cream Cheese,"Savor the rich flavors of France with our artisanal cream cheese, featuring a blend of creamy milk and herbs.","Savourez les riches saveurs de la France avec notre fromage à la crème artisanal, composé d'un mélange de lait crémeux et d'herbes.",Fromage à la crème artisanale français,Fromages Artisanales,France,0.6,0.5,g
37900123459288,French Herb and Lemon Marmalade,"Enjoy the sweetness of France with our French herb and lemon marmalade, featuring a blend of fragrant herbs and citrus.","Savourez la douceur de la France avec notre marmelade d'herbes et de citron française, composée d'un mélange d'herbes parfumées et d'agrumes.",Marmelade aux herbes et au citron français,Jams de France,France,0.7,0.55,g
37900123459395,Artisanal French Goat Cheese,"Savor the rich flavors of France with our artisanal goat cheese, featuring a blend of creamy milk and herbs.","Savourez les riches saveurs de la France avec notre fromage de chèvre artisanal, composé d'un mélange de lait crémeux et d'herbes.",Fromage chèvre artisanale français,Fromages Artisanales,France,1,0.85,g
37900123459412,French Apple Cider,"Enjoy the sweetness of France with our French apple cider, featuring a blend of juicy fruits and spices.","Savourez la douceur de la France avec notre cidre de pomme français, composé d'un mélange de fruits juteux et d'épices.",Cidre aux pommes français,Bieres de France,France,0.8,0.6,g
37900123459529,Artisanal French Creamy Cheese Dip,"Savor the rich flavors of France with our artisanal creamy cheese dip, featuring a blend of fresh herbs and spices.","Savourez les riches saveurs de la France avec notre trempette au fromage crémeuse artisanale, composée d'un mélange d'herbes fraîches et d'épices.",Mélange de dip à la crème française,Fromages Artisanales,France,0.6,0.5,g
37900123459646,French Herb and Garlic Sauce,"Enjoy the richness of France with our French herb and garlic sauce, featuring a blend of fragrant herbs and spices.","Savourez la richesse de la France avec notre sauce aux herbes et à l'ail française, composée d'un mélange d'herbes parfumées et d'épices.",Sauce aux herbes et à l'ail française,Charcuterie de France,France,1,0.85,g
37900123459763,Artisanal French Cream Cheese Spread,"Savor the rich flavors of France with our artisanal cream cheese spread, featuring a blend of creamy milk and herbs.","Savourez les riches saveurs de la France avec notre tartinade de fromage à la crème artisanale, composée d'un mélange de lait crémeux et d'herbes.",Fromage à la crème artisanale française pour tartiner,Fromages Artisanales,France,0.6,0.5,g
37900123459870,French Apple Compote,"Enjoy the sweetness of France with our French apple compote, featuring a blend of juicy fruits and spices.","Savourez la douceur de la France avec notre compote de pommes française, composée d'un mélange de fruits juteux et d'épices.",Compote de pommes française,Dessertès de France,France,0.7,0.55,g
37900234567890,Eco-Friendly Reusable Water Bottle,"Stay hydrated and reduce plastic waste with our eco-friendly reusable water bottle, featuring a BPA-free design.","Restez hydraté et réduisez les déchets plastiques avec notre bouteille d'eau réutilisable respectueuse de l'environnement, dotée d'une conception sans BPA.",Bouteille d'eau réutilisable et écologique,HydroFlow,USA,0.3,0.2,g
